ID,Block/Item,Mod,Unlocalised name,Class
0,null,null,null,null
1,Block,Minecraft,tile.stone,net.minecraft.block.BlockStone
2,Block,Minecraft,tile.grass,net.minecraft.block.BlockGrass
3,Block,Minecraft,tile.dirt,net.minecraft.block.BlockDirt
4,Block,Minecraft,tile.stonebrick,net.minecraft.block.Block
5,Block,Minecraft,tile.wood,net.minecraft.block.BlockWood
6,Block,Minecraft,tile.sapling,net.minecraft.block.BlockSapling
7,Block,Minecraft,tile.bedrock,net.minecraft.block.Block
8,Block,Minecraft,tile.water,net.minecraft.block.BlockFlowing
9,Block,Minecraft,tile.water,net.minecraft.block.BlockStationary
10,Block,Minecraft,tile.lava,net.minecraft.block.BlockFlowing
11,Block,Minecraft,tile.lava,net.minecraft.block.BlockStationary
12,Block,Minecraft,tile.sand,net.minecraft.block.BlockSand
13,Block,Minecraft,tile.gravel,net.minecraft.block.BlockGravel
14,Block,Minecraft,tile.oreGold,net.minecraft.block.BlockOre
15,Block,Minecraft,tile.oreIron,net.minecraft.block.BlockOre
16,Block,Minecraft,tile.oreCoal,net.minecraft.block.BlockOre
17,Block,Minecraft,tile.log,net.minecraft.block.BlockLog
18,Block,Minecraft,tile.leaves,net.minecraft.block.BlockLeaves
19,Block,Minecraft,tile.sponge,net.minecraft.block.BlockSponge
20,Block,Minecraft,tile.glass,net.minecraft.block.BlockGlass
21,Block,Minecraft,tile.oreLapis,net.minecraft.block.BlockOre
22,Block,Minecraft,tile.blockLapis,net.minecraft.block.Block
23,Block,Minecraft,tile.dispenser,net.minecraft.block.BlockDispenser
24,Block,Minecraft,tile.sandStone,net.minecraft.block.BlockSandStone
25,Block,Minecraft,tile.musicBlock,net.minecraft.block.BlockNote
26,Block,Minecraft,tile.bed,net.minecraft.block.BlockBed
27,Block,Minecraft,tile.goldenRail,net.minecraft.block.BlockRailPowered
28,Block,Minecraft,tile.detectorRail,net.minecraft.block.BlockDetectorRail
29,Block,Minecraft,tile.pistonStickyBase,net.minecraft.block.BlockPistonBase
30,Block,Minecraft,tile.web,net.minecraft.block.BlockWeb
31,Block,Minecraft,tile.tallgrass,net.minecraft.block.BlockTallGrass
32,Block,Minecraft,tile.deadbush,net.minecraft.block.BlockDeadBush
33,Block,Minecraft,tile.pistonBase,net.minecraft.block.BlockPistonBase
